1,0,0
2,0,0
3,1,1
4,2,1
5,3,1
6,4,1
7,5,1
8,6,1
9,7,1
10,8,1
11,9,1
12,10,1
13,11,1
14,12,1
15,13,1
16,14,1
17,15,1
18,16,1
19,17,1
20,18,1
21,19,1
22,20,1
23,21,1
24,22,1
25,23,1
26,24,1
27,25,1
28,26,1
29,27,1
30,28,1
31,29,1
32,30,1
33,31,1
34,32,1
35,33,1
36,34,1
37,35,1
38,36,1
39,37,1
40,38,1
41,39,1
42,40,1
43,41,1
44,42,1
45,43,1
46,44,1
47,45,1
48,46,1
49,47,1
50,48,1
4,1,1
3,2,1
6,3,1
5,4,1
8,5,1
7,6,1
10,7,1
9,8,1
12,9,1
11,10,1
14,11,1
13,12,1
16,13,1
15,14,1
18,15,1
17,16,1
20,17,1
19,18,1
22,19,1
21,20,1
24,21,1
23,22,1
26,23,1
25,24,1
28,25,1
27,26,1
30,27,1
29,28,1
32,29,1
31,30,1
34,31,1
33,32,1
36,33,1
35,34,1
38,35,1
37,36,1
40,37,1
39,38,1
42,39,1
41,40,1
44,41,1
43,42,1
46,43,1
45,44,1
48,45,1
47,46,1
50,47,1
49,48,1
5,2,2
3,3,2
7,3,3
8,4,3
6,5,3
9,6,3
11,7,3
12,8,3
10,9,3
13,10,3
15,11,3
16,12,3
14,13,3
17,14,3
19,15,3
20,16,3
18,17,3
21,18,3
23,19,3
24,20,3
22,21,3
25,22,3
27,23,3
28,24,3
26,25,3
29,26,3
31,27,3
32,28,3
30,29,3
33,30,3
35,31,3
36,32,3
34,33,3
37,34,3
39,35,3
40,36,3
38,37,3
41,38,3
43,39,3
44,40,3
42,41,3
45,42,3
47,43,3
48,44,3
46,45,3
49,46,3
50,49,3
9,4,4
10,5,4
6,6,4
11,5,5
10,6,5
8,7,5
13,8,5
14,9,5
15,10,5
12,11,5
17,12,5
18,13,5
19,14,5
16,15,5
21,16,5
22,17,5
23,18,5
20,19,5
25,20,5
26,21,5
27,22,5
24,23,5
29,24,5
30,25,5
31,26,5
28,27,5
33,28,5
34,29,5
35,30,5
32,31,5
37,32,5
38,33,5
39,34,5
36,35,5
41,36,5
42,37,5
43,38,5
40,39,5
45,40,5
46,41,5
47,42,5
44,43,5
49,44,5
50,45,5
48,47,5
12,6,6
13,7,6
8,8,6
14,7,7
15,8,7
13,9,7
10,10,7
16,8,8
15,9,8
17,10,8
18,11,8
19,12,8
13,13,8
17,9,9
18,10,9
19,11,9
15,12,9
20,13,9
21,14,9
22,15,9
23,16,9
24,17,9
25,18,9
26,19,9
27,20,9
28,21,9
29,22,9
30,23,9
31,24,9
32,25,9
33,26,9
34,27,9
35,28,9
36,29,9
37,30,9
38,31,9
39,32,9
40,33,9
41,34,9
42,35,9
43,36,9
44,37,9
45,38,9
46,39,9
47,40,9
48,41,9
49,42,9
50,43,9
19,10,10
20,11,10
18,12,10
21,13,10
22,14,10
15,15,10
21,11,11
20,12,11
22,13,11
18,14,11
